,input,answer,predict,bleu
0,11時半頃,いらっしゃったうーん,そう,0.0
1,11時半頃,十一時半に,あそうなんですねね,0.0
2,15分ぐらいまで,十五分,優秀なんですね,0.0
3,15分ぐらいまで,あっ,あーなんですねー,0.0
4,15分ぐらいまで駅に,15分はい,あそうですですね,1.2183324802375697e-231
5,15分ぐらいまで駅に,あはい,そんなですか,0.0
6,15分ぐらいまで駅に着くまでにかかりました,はいうーんうん,あです,1.1049969584438628e-231
7,15分ぐらいまで駅に着くまでにかかりました,あそうですか,あー落ちてき,0.0
8,15分ぐらいまで駅に着くまでにかかりました,ええあそうですねそうだったんですね,あ,2.4655814830110698e-232
9,15分ぐらいまで駅に着くまでにかかりました,はいだったんですねありがとう,あーそうーですかーたですねー,6.480360213743594e-155
10,15分前に,凄いです,あそんなそんなことない,0.0
11,15分前に,通りああ,三年生ですか,1.2882297539194154e-231
12,15分前に,あっ,あらー,0.0
13,15分前に,や,あですね,1.384292958842266e-231
14,15分前に事務所に,十五分前で,そうね,0.0
15,15分前に事務所に,あっ,あ訪問されたんですか,0.0
16,15分前に事務所に着きました,そうなんですね,うーん,0.0
17,15分前に事務所に着きました,あ計画通りで,ああちゃうんね,1.5319719891192393e-231
18,15分前に事務所に着きました,あそうですか,あー,1.821831989445342e-231
19,15分前に事務所に着きました,あそうなんですね,へー,0.0
20,15分前に事務所に着きました,あーそーなんですねー,あー,1.821831989445342e-231
21,15分前に事務所に着きました,あ,あそうなんですか,0.8408964152537145
22,15分前に事務所に着きました,あ丁度いい具合に,進行ですね,1.133422688662942e-154
23,15分前に事務所に着きました,あーはい,わ和裁,0.0
24,16年間その先生にお世話になって,長いですね,凄い,0.0
25,16年間その先生にお世話になって,あー長い間,あうん,0.0
26,16年間その先生にお世話になって,十六年もですか,長い六年年です,1.6954057018456463e-231
27,18歳以上でないとあのやる,うーん,あーです,0.0
28,18歳以上でないとあのやる,あっ,うーんですね,1.384292958842266e-231
29,18歳以上でないとあのやることができ,へー十八歳以上じゃないと,あそうなんですか,0.7598356856515925
30,18歳以上でないとあのやることができ,ああ,あですか,1.133422688662942e-154
31,18歳以上でないとあのやることができ,ああ,あやみつきになってですね,6.484592771860512e-155
32,18歳以上でないとあのやることができ,あっそうなんですね,あーはいは,1.384292958842266e-231
33,18歳以上でないとあのやることができ,あーそうなんですか,あ,0.0
34,1964年昭和,あーはいはいはい,はーたいへんねー,0.0
35,1964年昭和,うんうーん六十四年,都都はいれ,0.0
36,1センチ5ミリぐらいの,そうです,あはははなか,0.0
37,1回も行っておりませんので,あー遠のいてしまったんですね,生花を,0.0
38,1回も行っておりませんので,あーそうなんですね,そうですんですねー,7.380245217279165e-78
39,1回も行っておりませんので,そうなんですか,あそうえええですね娘,8.286571670851008e-155
40,1回も行っておりませんので,あ,あー,1.821831989445342e-231
41,1回も行っておりませんので,ああ,あんまり乗らないうんですよねね,1.2882297539194154e-231
42,1回も行っておりませんので,あーそうなんですか,九ー,1.5319719891192393e-231
43,1回も行っておりませんので,あーそーなんですねー,あね,1.821831989445342e-231
44,1回も行っておりませんのでもう,お姉ちゃんといつも,そう,0.0
45,1回も行っておりませんのでもうここ,うーん,そうね,0.0
46,1日中家にいながらも,ああ,あそうですか,1.3478743256634661e-154
47,1日中家にいながらも,うーんあ,そうです,1.821831989445342e-231
48,1日中家にいながらも,あそうなんですか,あえあそうなか,6.867731683891005e-155
49,1日中家にいながらもあの,おうちでですね,円か,0.0
50,1日中家にいながらもあのやっておりまして,あっ,あはい,1.5319719891192393e-231
51,1日中家にいながらもあのやっておりまして,多趣味うん,あへぇー,0.0
52,1日中家にいながらもあのやっておりまして,あっという間に時間た経ちますよね,あそうです,0.0
53,1日中家にいながらもあのやっておりまして,へえ,縄跳び縄跳びよ,1.384292958842266e-231
54,1日中家にいながらもあのやっておりまして,あーはいはい,あーそう珍しいんですね,1.171778691554733e-231
55,1時間ぐらい前に,えー,あはははなか,1.2183324802375697e-231
56,1時間ぐらい前に,一時間もですか,ああぺらぺらなり,0.0
57,1時間ぐらい前に,あへー,あははいですねやすかったですね,1.2882297539194154e-231
58,1泊泊まって,あ,あですね,1.384292958842266e-231
59,1泊泊まって,へえ,そう,0.0
60,1番っていわれるとわたくしはちょっと戸惑ってしまいます,あーそーですか,そうですねそうなん,1.384292958842266e-231
61,1番っていわれるとわたくしはちょっと戸惑ってしまいます,うーん,あー,1.821831989445342e-231
62,1番っていわれるとわたくしはちょっと戸惑ってしまいます,あはいそうなんですか,あ皆さんー,1.646211035903463e-231
63,20代だいぶ昔の話ですけれども,あはい,活発だったんです,0.0
64,20代だいぶ昔の話ですけれども20代の後半に,あ,あーそうんですね,0.0
65,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,あはいあそうなんですね,そうそうね,1.5319719891192393e-231
66,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,ええああ女子,あ二インチインチインチで,8.34076112986429e-232
67,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,ええあー,あ,6.702145341854094e-232
68,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,へーはい,着付け,0.0
69,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,あー,あそうへっへっんですか,0.0
70,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,あー,長い六年年です,0.0
71,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,ああ,円か,0.0
72,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,あ,あそうえええですね娘,1.1200407237786664e-231
73,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に,あー,円か,0.0
74,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,あー,あ,1.821831989445342e-231
75,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,あ,文章ですかか,1.2882297539194154e-231
76,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,いいですね,あはは,1.384292958842266e-231
77,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,いいですね,あそうなんですねね,6.968148412761692e-155
78,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,軽井沢に,ケンケン跳びですか,1.2882297539194154e-231
79,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,うーん,あそうでしょか,0.0
