input,answer,predict,bleu
"1 1 時 半 頃 
","['いらっしゃっ た うーん \r\n', '十 一 時 半 に \r\n']","['あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n']","[1.1350838348811001e-231, 1.1350838348811001e-231]"
"1 5 分 ぐらい まで 
","['十 五 分 \r\n', 'あっ \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[6.091662401187849e-232, 6.091662401187849e-232]"
"1 5 分 ぐらい まで 駅 に 
","['あ はい \r\n', '1 5 分 はい \r\n']","['はい あー \r\n', 'はい あー \r\n']","[1.3831258798410648e-231, 1.3831258798410648e-231]"
"1 5 分 ぐらい まで 駅 に 着く まで に かかり まし た 
","['はい だっ た ん です ね ありがとう \r\n', 'はい うーん うん \r\n', 'あ そう です か \r\n', 'ええ あ そう です ね そう だっ た ん です ね \r\n']","['はい あー そう な ん です か \r\n', 'はい あー そう な ん です か \r\n', 'はい あー そう な ん です か \r\n', 'はい あー そう な ん です か \r\n']","[1.2383537059600696e-231, 1.2383537059600696e-231, 1.2383537059600696e-231, 1.2383537059600696e-231]"
"1 5 分 前 に 
","['凄い です \r\n', 'あっ \r\n', 'や \r\n', '予定 通り ああ \r\n']","['はい あー そう な ん です ね \r\n', 'はい あー そう な ん です ね \r\n', 'はい あー そう な ん です ね \r\n', 'はい あー そう な ん です ね \r\n']","[6.506563597699589e-232, 6.506563597699589e-232, 6.506563597699589e-232, 6.506563597699589e-232]"
"1 5 分 前 に 事務 所 に 
",['あっ \r\n'],['あー はい はい \r\n'],[0.0]
"1 5 分 前 に 事務 所 に 着き まし た 
","['あー そー な ん です ねー \r\n', 'あ 丁度 いい 具合 に \r\n', 'あ \r\n', 'あ そう な ん です ね \r\n', 'あー はい \r\n', 'あ 計画 通り で \r\n', 'あ そう です か \r\n', 'あ \r\n', 'そう な ん です ね \r\n']","['あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n']","[1.3514501650367654e-231, 1.3514501650367654e-231, 1.3514501650367654e-231, 1.3514501650367654e-231, 1.3514501650367654e-231, 1.3514501650367654e-231, 1.3514501650367654e-231, 1.3514501650367654e-231, 1.3514501650367654e-231]"
"1 6 年間 その 先生 に お 世話 に なっ て 
","['十 六 年 も です か \r\n', '長い です ね \r\n', 'あー 長い 間 \r\n']","['あ \r\n', 'あ \r\n', 'あ \r\n']","[0.0, 0.0, 0.0]"
"1 8 歳 以上 で ない と あの やる 
","['あっ \r\n', 'うーん \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[0.0, 0.0]"
"1 8 歳 以上 で ない と あの やる こと が でき 
","['ああ \r\n', 'ああ \r\n', 'あー そう な ん です か \r\n', 'へー 十 八 歳 以上 じゃ ない と \r\n', 'あっ そう な ん です ね \r\n']","['あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n']","[5.852940319861006e-232, 5.852940319861006e-232, 5.852940319861006e-232, 5.852940319861006e-232, 5.852940319861006e-232]"
"1 9 6 4 年 昭和 
","['あー はい はい はい \r\n', 'うん うーん 六十 四 年 \r\n']","['あ はい \r\n', 'あ はい \r\n']","[1.0722660694987808e-231, 1.0722660694987808e-231]"
"1 センチ 5 ミリ ぐらい の 
",['そう です \r\n'],['あー \r\n'],[0.0]
"1 回 も 行っ て おり ませ ん の で 
","['ああ \r\n', 'うーん うーん \r\n', 'あ \r\n', 'はあ そう です か \r\n', 'あー そう な ん です ね \r\n', 'あー 遠のい て しまっ た ん です ね \r\n', 'あー そう な ん です か \r\n', 'そう な ん です か \r\n', 'あー そー な ん です ねー \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.2359774777095957e-231, 1.2359774777095957e-231, 1.2359774777095957e-231, 1.2359774777095957e-231, 1.2359774777095957e-231, 1.2359774777095957e-231, 1.2359774777095957e-231, 1.2359774777095957e-231, 1.2359774777095957e-231]"
"1 回 も 行っ て おり ませ ん の で もう 
",['お 姉 ちゃん と いつ も \r\n'],['あー そう な ん です ね \r\n'],[9.788429383461836e-232]
"1 回 も 行っ て おり ませ ん の で もう ここ 
",['うーん \r\n'],['あ そう な ん です ね \r\n'],[0.0]
"1 日中 家 に い ながら も 
","['うーん あ \r\n', 'あ そう な ん です か \r\n', 'ああ \r\n']","['あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n']","[1.0473704499828068e-231, 1.0473704499828068e-231, 1.0473704499828068e-231]"
"1 日中 家 に い ながら も あの 
",['お うち で です ね \r\n'],['あ そう な ん です か \r\n'],[1.2508498911928379e-231]
"1 日中 家 に い ながら も あの やっ て おり まし て 
","['あー はい はい \r\n', '多 趣味 うん \r\n', 'あっ と いう 間 に 時間 た 経ち ます よ ね \r\n', 'ええ ええ へえ \r\n', 'へえ \r\n', 'あっ \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[7.510073920038025e-232, 7.510073920038025e-232, 7.510073920038025e-232, 7.510073920038025e-232, 7.510073920038025e-232, 7.510073920038025e-232]"
"1 時間 ぐらい 前 に 
","['一 時間 も です か \r\n', 'えー \r\n', 'あ へー \r\n']","['はい あ そう な ん です ね \r\n', 'はい あ そう な ん です ね \r\n', 'はい あ そう な ん です ね \r\n']","[8.993487418093645e-232, 8.993487418093645e-232, 8.993487418093645e-232]"
"1 泊 泊まっ て 
","['へえ \r\n', 'あ \r\n']","['あ \r\n', 'あ \r\n']","[9.10915994722671e-232, 9.10915994722671e-232]"
"1番 って いわ れる と わたくし は ちょっと 戸惑っ て しまい ます 
","['うーん \r\n', 'あー そー です か \r\n', 'あ は い そう な ん です か \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[9.720883159871684e-232, 9.720883159871684e-232, 9.720883159871684e-232]"
"2 0 代 だいぶ 昔 の 話 です けれど も 
",['あ はい \r\n'],['あー そう な ん です ね \r\n'],[1.646211035903463e-231]
"2 0 代 だいぶ 昔 の 話 です けれど も 2 0 代 の 後半 に 
",['あ \r\n'],['あ はい \r\n'],[1.821831989445342e-231]
"2 0 代 だいぶ 昔 の 話 です けれど も 2 0 代 の 後半 に 仲良し 3 人 組 で 女性 です が 
","['ええ あー \r\n', 'ええ ああ 女子 \r\n', 'あ はい あ そう な ん です ね \r\n', 'へー はい \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.3240254620373534e-231, 1.3240254620373534e-231, 1.3240254620373534e-231, 1.3240254620373534e-231]"
"2 0 代 だいぶ 昔 の 話 です けれど も 2 0 代 の 後半 に 仲良し 3 人 組 で 女性 です が あの まー 安い 宿 を 使っ て 軽井沢 に 
","['あー \r\n', 'あー \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"2 0 代 だいぶ 昔 の 話 です けれど も 2 0 代 の 後半 に 仲良し 3 人 組 で 女性 です が あの まー 安い 宿 を 使っ て 軽井沢 に 2 泊 の 
","['ああ \r\n', 'あ \r\n']","['あー \r\n', 'あー \r\n']","[3.351072670927047e-232, 3.351072670927047e-232]"
"2 0 代 だいぶ 昔 の 話 です けれど も 2 0 代 の 後半 に 仲良し 3 人 組 で 女性 です が あの まー 安い 宿 を 使っ て 軽井沢 に 2 泊 の 旅行 に 
",['あー \r\n'],['あー \r\n'],[0.0]
"2 0 代 だいぶ 昔 の 話 です けれど も 2 0 代 の 後半 に 仲良し 3 人 組 で 女性 です が あの まー 安い 宿 を 使っ て 軽井沢 に 2 泊 の 旅行 に 行こう と 
","['あー \r\n', 'いい です ね \r\n', 'あ \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n']","[2.234048447284698e-232, 2.234048447284698e-232, 2.234048447284698e-232]"
"2 0 代 だいぶ 昔 の 話 です けれど も 2 0 代 の 後半 に 仲良し 3 人 組 で 女性 です が あの まー 安い 宿 を 使っ て 軽井沢 に 2 泊 の 旅行 に 行こう と あ 1 泊 の 
","['軽井沢 に \r\n', 'いい です ね \r\n', 'うーん \r\n', '素敵 です ね \r\n']","['そう です ね \r\n', 'そう です ね \r\n', 'そう です ね \r\n', 'そう です ね \r\n']","[1.0704980666792304e-231, 1.0704980666792304e-231, 1.0704980666792304e-231, 1.0704980666792304e-231]"
"2 0 代 だいぶ 昔 の 話 です けれど も 2 0 代 の 後半 に 仲良し 3 人 組 で 女性 です が あの まー 安い 宿 を 使っ て 軽井沢 に 2 泊 の 旅行 に 行こう と あ 1 泊 の 旅行 に 
",['旅行 \r\n'],['あー \r\n'],[0.0]
"2 0 代 だいぶ 昔 の 話 です けれど も 2 0 代 の 後半 に 仲良し 3 人 組 で 女性 です が あの まー 安い 宿 を 使っ て 軽井沢 に 2 泊 の 旅行 に 行こう と あ 1 泊 の 旅行 に 行こう と いう こと に 
",['あ \r\n'],['あ \r\n'],[1.821831989445342e-231]
"2 0 代 だいぶ 昔 の 話 です けれど も 2 0 代 の 後半 に 仲良し 3 人 組 で 女性 です が あの まー 安い 宿 を 使っ て 軽井沢 に 2 泊 の 旅行 に 行こう と あ 1 泊 の 旅行 に 行こう と いう こと に なっ た ん です 
",['はー \r\n'],['あ そう です ね \r\n'],[0.0]
"2 0 年 代 戦後 間 も ない 
",['二十 年 代 戦後 です ね \r\n'],['あー \r\n'],[0.0]
"2 0 年 代 戦後 間 も ない 頃 です が 
","['そう です よ ね \r\n', 'あー はい はい \r\n']","['あー はい はい \r\n', 'あー はい はい \r\n']","[1.1691866020081181e-231, 1.1691866020081181e-231]"
"2 つ の お はじき の 
","['ええ ええ ええ ああ ああ \r\n', 'ああ \r\n']","['あ はい \r\n', 'あ はい \r\n']","[5.2591759476231526e-232, 5.2591759476231526e-232]"
"2 つ の お はじき の あいだ を 
","['指 で うん \r\n', 'あ はい \r\n', 'あー はい はい はい \r\n', 'あー そう でし た ね \r\n']","['あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n']","[1.2591048573610824e-231, 1.2591048573610824e-231, 1.2591048573610824e-231, 1.2591048573610824e-231]"
"2 つ の お はじき を 
","['あ はい \r\n', 'はい うん 二 つ の \r\n']","['あ はい \r\n', 'あ はい \r\n']","[1.3490231127140468e-231, 1.3490231127140468e-231]"
"2 年 で 辞め まし て 
","['ええ あ はい \r\n', 'えっ \r\n', 'そう な ん です か \r\n', 'あ はい \r\n', 'はい あー そう だっ た ん です か \r\n', 'あー そう だっ た ん です か \r\n', 'はい あ \r\n', 'あー はい \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.2617655461298891e-231, 1.2617655461298891e-231, 1.2617655461298891e-231, 1.2617655461298891e-231, 1.2617655461298891e-231, 1.2617655461298891e-231, 1.2617655461298891e-231, 1.2617655461298891e-231]"
"2 年 で 辞め まし て その 後 
",['そう な ん です か \r\n'],['あー そう な ん です か \r\n'],[1.4875195904069663e-231]
"2 年 で 辞め まし て その 後 文化 服装 学院 の 大学 の 
",['あ はい \r\n'],['あ \r\n'],[1.384292958842266e-231]
"2 年 で 辞め まし て その 後 文化 服装 学院 の 大学 の 方 に 入り まし て 
",['そちら の ほう に ええ \r\n'],['あ \r\n'],[0.0]
"2 年 で 辞め まし て その 後 文化 服装 学院 の 大学 の 方 に 入り まし て デザイン 科 で 
",['ああ \r\n'],['あー \r\n'],[0.0]
"2 年 で 辞め まし て その 後 文化 服装 学院 の 大学 の 方 に 入り まし て デザイン 科 で 勉強 し まし て 
","['ええ 凄い です ね \r\n', 'あ デザイン 科 で 勉強 さ れ て \r\n', 'あー そう な ん です ねー \r\n', 'へー 凄い \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.3127863150885528e-231, 1.3127863150885528e-231, 1.3127863150885528e-231, 1.3127863150885528e-231]"
"2 年 で 辞め まし て その 後 文化 服装 学院 の 大学 の 方 に 入り まし て デザイン 科 で 勉強 し まし て 4 年間 そこ に 行き まし た 
",['あ \r\n'],['あ \r\n'],[1.821831989445342e-231]
"2 年 連続 
",['はい 二 年 連続 で \r\n'],['はい あー \r\n'],[1.0518351895246305e-231]
"2 本 の うち 1 本 当たり まし た の で 
","['あー 良かっ た です \r\n', 'あ \r\n', 'あっ わー 凄い です ね \r\n', 'わー 凄い です ね \r\n', 'わっ 素晴らしい \r\n', 'やっ 凄い です ー 視力 が いい ん です ね \r\n', 'わー す 素晴らしい です ねー \r\n', 'あっ えー 良かっ た じゃ ない です か \r\n', 'へー \r\n']","['あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n']","[1.0285286947783111e-231, 1.0285286947783111e-231, 1.0285286947783111e-231, 1.0285286947783111e-231, 1.0285286947783111e-231, 1.0285286947783111e-231, 1.0285286947783111e-231, 1.0285286947783111e-231, 1.0285286947783111e-231]"
"2 泊 
","['二 泊 \r\n', '二 泊 \r\n', 'わー そう です かー \r\n']","['あ \r\n', 'あ \r\n', 'あ \r\n']","[0.0, 0.0, 0.0]"
"2 泊 泊まっ て それ で 
",['あ \r\n'],['あ \r\n'],[1.821831989445342e-231]
"2 泊 泊まっ て それ で 年末 の 
",['泊まら れ て \r\n'],['あ \r\n'],[0.0]
"2 泊 泊まっ て それ で 年末 の 3 1 日 に 
",['あ \r\n'],['あ \r\n'],[1.821831989445342e-231]
"2 泊 泊まっ て それ で 年末 の 3 1 日 に 父親 が 
","['年末 から \r\n', 'えっ そんな に \r\n']","['はー \r\n', 'はー \r\n']","[0.0, 0.0]"
"2 泊 泊まっ て それ で 年末 の 3 1 日 に 父親 が 迎え に 来 て 帰っ て 
",['あー \r\n'],['あー \r\n'],[0.0]
"2人 し て 何 か あのー 計画 し あのー 
","['うん わー うーん \r\n', 'はい はい へー \r\n']","['はい あ \r\n', 'はい あ \r\n']","[1.1911897334944695e-231, 1.1911897334944695e-231]"
"3 0 0 メートル ばかり 
",['ええ \r\n'],['あ はい \r\n'],[0.0]
"3 0 人 
","['ええ \r\n', 'ほー \r\n', 'あ \r\n', 'ほー \r\n', 'はー \r\n', 'えっ \r\n', '三十 名 で \r\n', '三十 人 も \r\n', 'はい あー \r\n', 'うーん \r\n', 'えっ 三十 人 も \r\n']","['はい \r\n', 'はい \r\n', 'はい \r\n', 'はい \r\n', 'はい \r\n', 'はい \r\n', 'はい \r\n', 'はい \r\n', 'はい \r\n', 'はい \r\n', 'はい \r\n']","[1.3927018082902174e-232, 1.3927018082902174e-232, 1.3927018082902174e-232, 1.3927018082902174e-232, 1.3927018082902174e-232, 1.3927018082902174e-232, 1.3927018082902174e-232, 1.3927018082902174e-232, 1.3927018082902174e-232, 1.3927018082902174e-232, 1.3927018082902174e-232]"
"3 1 日 に 
",['そう です よ ね \r\n'],['あー \r\n'],[0.0]
"3 1 日 に 帰っ て いく の です が 
","['あー \r\n', 'へえ \r\n', 'あー そう だっ た ん です ねー \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[3.803283766034449e-232, 3.803283766034449e-232, 3.803283766034449e-232]"
"3 1 日 に 帰っ て いく の です が 私 は 
","['はあ \r\n', 'そう な ん です \r\n']","['あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n']","[7.370282450068537e-232, 7.370282450068537e-232]"
"3 1 日 に 帰っ て いく の です が 私 は その 子 と 会う の が とても 楽しみ で 
","['ええ ええ ええ ええ そう です よ ね \r\n', 'うん あ そう な ん です か \r\n', '可愛い \r\n', 'そう です ね 楽しい です ね \r\n', 'そう です ね \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.0192501383078254e-231, 1.0192501383078254e-231, 1.0192501383078254e-231, 1.0192501383078254e-231, 1.0192501383078254e-231]"
"3 9 年 です けれど も 
","['はい 昭和 三十 九 年 \r\n', '三十 そう です ね はい \r\n', 'よん 三十 九 年 です か ね ええ \r\n']","['はい あー そう な ん です か \r\n', 'はい あー そう な ん です か \r\n', 'はい あー そう な ん です か \r\n']","[1.044083537510626e-231, 1.044083537510626e-231, 1.044083537510626e-231]"
"3 人 とも 勤め先 が 違い ます の で 
","['あー はい \r\n', 'ええ ええ あ そう な ん です ね \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.384292958842266e-231, 1.384292958842266e-231]"
"3 人 とも 勤め先 が 違い ます の で えーと どこ の 駅 でし た か 集合 と いう こと で 急行 電車 に 
",['待ち合わせ し て \r\n'],['あー \r\n'],[0.0]
"3 年間 の 
","['良かっ た です ね \r\n', '凄い \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"3 年間 の 付き合い を 持っ て 
","['へえ \r\n', 'やり まし た ね ええ \r\n', 'はぁー \r\n', 'うーん \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[3.829929972798098e-232, 3.829929972798098e-232, 3.829929972798098e-232, 3.829929972798098e-232]"
"4 0 代 の 
","['そう です \r\n', 'えー 三十 \r\n', '凄い \r\n', '凄い です \r\n', '大正 琴 三十 年 やっ てる ん です か \r\n']","['あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n']","[9.882600223825766e-232, 9.882600223825766e-232, 9.882600223825766e-232, 9.882600223825766e-232, 9.882600223825766e-232]"
"4 0 代 の 終わり から 
",['あー はい はい \r\n'],['あー そう な ん です ね \r\n'],[1.2183324802375697e-231]
"4 0 代 の 終わり から 現在 まで 
","['へえ \r\n', 'わー ずーっと \r\n', 'あ \r\n']","['あ \r\n', 'あ \r\n', 'あ \r\n']","[6.07277329815114e-232, 6.07277329815114e-232, 6.07277329815114e-232]"
"4 0 代 の 終わり から 現在 まで えー 
",['今 まで \r\n'],['はい あー そう な ん です か \r\n'],[1.384292958842266e-231]
"4 0 代 の 終わり から 現在 まで えー やっ て ます 
","['あー はい はい \r\n', 'あっ はー 長い です ね \r\n', 'すごい です ねー \r\n', 'そんな に 長く です か \r\n', 'あー お 好き な ん です ね \r\n', 'は い そう です か \r\n']","['あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n']","[1.2042606286479612e-231, 1.2042606286479612e-231, 1.2042606286479612e-231, 1.2042606286479612e-231, 1.2042606286479612e-231, 1.2042606286479612e-231]"
"4 0 分 の 
",['特に ええ ええ \r\n'],['あ はい \r\n'],[1.2183324802375697e-231]
"4 0 分 の 道のり です の で ね 
","['ええ 長い です ね \r\n', 'うーん そう です ね 結構 あり ます もん ね \r\n', 'うーん 長い です ね \r\n', 'ええ うん 結構 長い です ね \r\n', 'ええ そう です ね \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.2505000651095402e-231, 1.2505000651095402e-231, 1.2505000651095402e-231, 1.2505000651095402e-231, 1.2505000651095402e-231]"
"4 か ぐらい は 
","['はい 四 日 も \r\n', 'もう え え \r\n']","['あ \r\n', 'あ \r\n']","[0.0, 0.0]"
"4 年 の 所 を 優待 生 で 
","['あ \r\n', 'えー \r\n']","['あー \r\n', 'あー \r\n']","[3.351072670927047e-232, 3.351072670927047e-232]"
"4 年 の 所 を 優待 生 で 3 年間 で 
","['えっ 優待 生 \r\n', 'へえ \r\n', 'はー \r\n', 'ああ \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[3.829929972798098e-232, 3.829929972798098e-232, 3.829929972798098e-232, 3.829929972798098e-232]"
"4 年 の 所 を 優待 生 で 3 年間 で 終了 さ せ て いただき まし て 
","['へー \r\n', 'はい \r\n', '凄い 優秀 です ね \r\n', 'まー あ そう な ん です ね \r\n', 'すごい です ねー 3 年 \r\n', 'えー 素晴らしい \r\n', 'うわー はい わー 凄い \r\n', 'わー 凄い です ね \r\n', 'へー 凄い はい \r\n', '凄い うん \r\n', '凄い はい \r\n']","['あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n']","[9.816573604968226e-232, 9.816573604968226e-232, 9.816573604968226e-232, 9.816573604968226e-232, 9.816573604968226e-232, 9.816573604968226e-232, 9.816573604968226e-232, 9.816573604968226e-232, 9.816573604968226e-232, 9.816573604968226e-232, 9.816573604968226e-232]"
"4 年 の 所 を 優待 生 で 3 年間 で 終了 さ せ て いただき まし て 彼女 も 
",['さすが うん \r\n'],['あははは \r\n'],[0.0]
"4 年 の 所 を 優待 生 で 3 年間 で 終了 さ せ て いただき まし て 彼女 も 1 年間 は その 学校 に 残り まし て 先生 の お 手伝い を 
",['そう な ん です ね \r\n'],['あー そう な ん です ね \r\n'],[1.4875195904069663e-231]
"4 年 の 所 を 優待 生 で 3 年間 で 終了 さ せ て いただき まし て 彼女 も 1 年間 は その 学校 に 残り まし て 先生 の お 手伝い を し ながら 
","['あ はい \r\n', 'やー 同じ 道 です ね \r\n', 'わー 優秀 な ん です ね \r\n', 'へえ \r\n', 'えー 同じ よう に \r\n']","['あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n']","[9.539172226494416e-232, 9.539172226494416e-232, 9.539172226494416e-232, 9.539172226494416e-232, 9.539172226494416e-232]"
"4 泊 泊まっ て 
","['あ \r\n', '四 泊 です か \r\n', 'ああ ああ 凄い \r\n', 'あ 四 泊 も \r\n', 'あー はい はい \r\n', 'あ はい \r\n', '凄く 長く なっ た ん で \r\n', 'うわー すごい 4 泊 \r\n']","['あ \r\n', 'あ \r\n', 'あ \r\n', 'あ \r\n', 'あ \r\n', 'あ \r\n', 'あ \r\n', 'あ \r\n']","[5.4077070900828434e-232, 5.4077070900828434e-232, 5.4077070900828434e-232, 5.4077070900828434e-232, 5.4077070900828434e-232, 5.4077070900828434e-232, 5.4077070900828434e-232, 5.4077070900828434e-232]"
"5 センチ 1 0 センチ ぐらい づつ に 
","['ああ あ \r\n', 'あっ はい \r\n']","['あー はい \r\n', 'あー はい \r\n']","[1.5152519973728645e-231, 1.5152519973728645e-231]"
"5 センチ 1 0 センチ ぐらい づつ に 刻ん で 
","['そう です ね \r\n', 'はい 少し づつ です ね \r\n', 'あー \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n']","[0.0, 0.0, 0.0]"
"5 センチ 1 0 センチ ぐらい づつ に 刻ん で ま 適当 です けれど も 
",['高 さ な ん です ね うーん \r\n'],['はい あ そう な ん です か \r\n'],[1.2627076138080564e-231]
"6 0 年間 
",['えっ \r\n'],['あ \r\n'],[0.0]
"6 0 年間 やっ て い ます の で 
","['わあ \r\n', 'へー 六十 年 も \r\n', 'あっ 凄い 長い です ね \r\n', 'えー えー \r\n', 'すごく \r\n', 'ええ \r\n', 'はあ \r\n', 'うわー すごい です ねー \r\n', 'あ そんな に 長く \r\n', '六十 年 やっ てる ん です か \r\n', '六十 年 も です か \r\n']","['あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n']","[7.369014297248603e-232, 7.369014297248603e-232, 7.369014297248603e-232, 7.369014297248603e-232, 7.369014297248603e-232, 7.369014297248603e-232, 7.369014297248603e-232, 7.369014297248603e-232, 7.369014297248603e-232, 7.369014297248603e-232, 7.369014297248603e-232]"
"6 年 前 
","['六 年 前 です か \r\n', 'えっ \r\n', 'あ 六 年 前 に \r\n', 'えっ \r\n']","['あっ ははは \r\n', 'あっ ははは \r\n', 'あっ ははは \r\n', 'あっ ははは \r\n']","[5.7567127017936714e-232, 5.7567127017936714e-232, 5.7567127017936714e-232, 5.7567127017936714e-232]"
"6 月 に 
",['はい \r\n'],['はい \r\n'],[0.0]
"8 8 と か 9 0 歳 って こと は お お 祝い を し ます よ ね 
","['はい あー そう です ね \r\n', 'そう です よ ね \r\n', 'うん しま \r\n', 'あ はい はい し ます し ます \r\n', 'し ます ね \r\n', 'あー はい はい \r\n']","['あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n']","[1.1889698270718394e-231, 1.1889698270718394e-231, 1.1889698270718394e-231, 1.1889698270718394e-231, 1.1889698270718394e-231, 1.1889698270718394e-231]"
"8 8 と か 9 0 歳 って こと は お お 祝い を し ます よ ね そう 
",['し ます ねー \r\n'],['あ そう な ん です か \r\n'],[1.2183324802375697e-231]
"8 8 と か 9 0 歳 って こと は お お 祝い を し ます よ ね そう いう の を 
","['し ます ね \r\n', 'し ます \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.416571306389797e-231, 1.416571306389797e-231]"
"8 8 と か 9 0 歳 って こと は お お 祝い を し ます よ ね そう いう の を 全部 断る ん です よ ね 
","['えー どう し て でしょう か \r\n', 'あ な ん で です か \r\n', 'ええ あ そう な ん です かー \r\n', 'え \r\n', 'あー そう な ん です かー \r\n', 'あっ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう です か \r\n', 'あー \r\n', 'あ そう な ん です か \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.1672251960520323e-231, 1.1672251960520323e-231, 1.1672251960520323e-231, 1.1672251960520323e-231, 1.1672251960520323e-231, 1.1672251960520323e-231, 1.1672251960520323e-231, 1.1672251960520323e-231, 1.1672251960520323e-231, 1.1672251960520323e-231]"
"8 年 ぐらい は 
","['ええ ああ \r\n', 'あ そう です か \r\n', 'うーん はい \r\n', 'ああ \r\n', '八 年 です か \r\n']","['うーん \r\n', 'うーん \r\n', 'うーん \r\n', 'うーん \r\n', 'うーん \r\n']","[0.0, 0.0, 0.0, 0.0, 0.0]"
"8 歳 くらい まで は 色々 何 か 
",['え うん \r\n'],['はー \r\n'],[0.0]
"8 歳 くらい まで は 色々 何 か おっかない よう な 
",['はあ \r\n'],['はー \r\n'],[0.0]
"8 歳 くらい まで は 色々 何 か おっかない よう な 感じ が 
","['あー \r\n', 'あはっ は \r\n']","['あー \r\n', 'あー \r\n']","[6.441148769597077e-232, 6.441148769597077e-232]"
