,input,answer,predict
0,11時半頃,"['いらっしゃったうーん', '十一時半に']",へえ
1,15分ぐらいまで,"['十五分', 'あっ']",あっ
2,15分ぐらいまで駅に,"['15分はい', 'あはい']",あはい
3,15分ぐらいまで駅に着くまでにかかりました,"['はいだったんですねありがとう', 'はいうーんうん', 'ええあそうですねそうだったんですね', 'あそうですか']",あはい
4,15分前に,"['予定通りああ', 'や', '凄いです', 'あっ']",あっ
5,15分前に事務所に,"['十五分前で', 'あっ']",あっ
6,15分前に事務所に着きました,"['あーそーなんですねー', 'そうなんですね', 'あーはい', 'あ計画通りで', 'あ', 'あ', 'あ丁度いい具合に', 'あそうなんですね', 'あそうですか']",あ
7,16年間その先生にお世話になって,"['十六年もですか', 'あー長い間', '長いですね']",えー
8,18歳以上でないとあのやる,"['あっ', 'うーん']",ああ
9,18歳以上でないとあのやることができ,"['ああ', 'へー十八歳以上じゃないと', 'あーそうなんですか', 'あっそうなんですね', 'ああ']",ああ
10,1964年昭和,"['うんうーん六十四年', 'あーはいはいはい']",うーんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうんうん
11,1センチ5ミリぐらいの,['そうです'],そうですよね
12,1回も行っておりませんので,"['あーそうなんですね', 'あー遠のいてしまったんですね', 'そうなんですか', 'うーんうーん', 'あ', 'あーそうなんですか', 'ああ', 'あーそーなんですねー', 'はあそうですか']",あそうなんですか
13,1回も行っておりませんのでもうここ,['うーん'],あそうなんですか
14,1日中家にいながらも,"['うーんあ', 'あそうなんですか', 'ああ']",あーそうなんですね
15,1日中家にいながらもあの,['おうちでですね'],あー
16,1日中家にいながらもあのやっておりまして,"['ええええへえ', 'へえ', '多趣味うん', 'あっという間に時間た経ちますよね', 'あっ', 'あーはいはい']",あーそうなんですね
17,1時間ぐらい前に,"['あへー', 'えー', '一時間もですか']",あ
18,1泊泊まって,"['あ', 'へえ']",あ
19,1番っていわれるとわたくしはちょっと戸惑ってしまいます,"['うーん', 'あーそーですか', 'あはいそうなんですか']",あーそうなんですか
20,20代だいぶ昔の話ですけれども,['あはい'],あはい
21,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,"['あはいあそうなんですね', 'ええあー', 'へーはい', 'ええああ女子']",あはい
22,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,"['あー', 'あー']",あ
