,input,answer,predict,bleu
0,11時半頃,十一時半に,あん,0.0
1,11時半頃,いらっしゃったうーん,うーん,2.4655814830110698e-232
2,15分ぐらいまで,十五分,あであー,0.0
3,15分ぐらいまで,あっ,あー,0.0
4,15分ぐらいまで駅に,15分はい,あーそうなんですね,0.0
5,15分ぐらいまで駅に,あはい,あはははそうなんですね,1.0518351895246305e-231
6,15分ぐらいまで駅に着くまでにかかりました,はいだったんですねありがとう,あーうーんうん,1.133422688662942e-154
7,15分ぐらいまで駅に着くまでにかかりました,ええあそうですねそうだったんですね,はーそうなんですか,9.85444998995587e-155
8,15分ぐらいまで駅に着くまでにかかりました,あそうですか,はーしのしのなんですね,6.484592771860512e-155
9,15分ぐらいまで駅に着くまでにかかりました,はいうーんうん,でですねしのねーうーん,1.1200407237786664e-231
10,15分前に,あっ,あ,0.0
11,15分前に,凄いです,ああんです,1.384292958842266e-231
12,15分前に,や,はいしない,0.0
13,15分前に事務所に,あっ,うーん,0.0
14,15分前に事務所に,十五分前で,あーでしないっ,0.0
15,15分前に事務所に着きました,あ,えーでないですか,9.283142785759642e-155
16,15分前に事務所に着きました,あ計画通りで,そうですか,1.2213386697554703e-77
17,15分前に事務所に着きました,あそうですか,あーそうなんですね,6.562069055463047e-78
18,15分前に事務所に着きました,あーそーなんですねー,はいあそうなんですね,6.608446987146148e-78
19,15分前に事務所に着きました,あーはい,ああ,0.0
20,15分前に事務所に着きました,あ丁度いい具合に,うーん,0.0
21,16年間その先生にお世話になって,あー長い間,であ,0.0
22,16年間その先生にお世話になって,長いですね,でっねね,1.384292958842266e-231
23,16年間その先生にお世話になって,十六年もですか,あー,2.4655814830110698e-232
24,18歳以上でないとあのやる,あっ,あはい,0.0
25,18歳以上でないとあのやることができ,あっそうなんですね,でーしないしのの,1.1200407237786664e-231
26,18歳以上でないとあのやることができ,ああ,でです,1.5319719891192393e-231
27,18歳以上でないとあのやることができ,ああ,そうでーー,1.384292958842266e-231
28,18歳以上でないとあのやることができ,へー十八歳以上じゃないと,あそういうししねー,0.0
29,1964年昭和,あーはいはいはい,ああんです,0.0
30,1964年昭和,うんうーん六十四年,あはい,5.635809992474887e-232
31,1センチ5ミリぐらいの,そうです,あ,0.0
32,1回も行っておりませんので,あー遠のいてしまったんですね,あうーんあそうなんですね,0.5169731539571706
33,1回も行っておりませんので,あーそうなんですか,へあ,0.0
34,1回も行っておりませんので,そうなんですか,でっねね,1.384292958842266e-231
35,1回も行っておりませんので,ああ,でですねしのねーうーん,1.1200407237786664e-231
36,1回も行っておりませんので,あーそーなんですねー,あーしうんししししんですね,4.335118471269586e-78
37,1回も行っておりませんので,あーそうなんですね,しで,0.0
38,1回も行っておりませんのでもう,お姉ちゃんといつも,あそうなんですね,0.0
39,1回も行っておりませんのでもうここ,うーん,そうでーー,0.0
40,1日中家にいながらも,あそうなんですか,へー,0.0
41,1日中家にいながらも,うーんあ,あーそうなんですね,0.5081327481546147
42,1日中家にいながらもあの,おうちでですね,あん,0.0
43,1日中家にいながらもあのやっておりまして,多趣味うん,あそうなんですか,0.0
44,1日中家にいながらもあのやっておりまして,あーはいはい,そうでーー,0.0
45,1日中家にいながらもあのやっておりまして,へえ,うんそうでねー,1.2882297539194154e-231
46,1日中家にいながらもあのやっておりまして,あっ,ええあ,0.0
47,1日中家にいながらもあのやっておりまして,あっという間に時間た経ちますよね,ああんです,0.0
48,1時間ぐらい前に,えー,うーん,0.0
49,1時間ぐらい前に,あへー,そういうのしのしんし,0.0
50,1泊泊まって,へえ,うーん,0.0
51,1泊泊まって,あ,うーんそうですか,0.0
52,1番っていわれるとわたくしはちょっと戸惑ってしまいます,あーそーですか,あ,1.821831989445342e-231
53,1番っていわれるとわたくしはちょっと戸惑ってしまいます,うーん,あー,1.821831989445342e-231
54,1番っていわれるとわたくしはちょっと戸惑ってしまいます,あはいそうなんですか,でねですね,1.0032743411283238e-231
55,20代だいぶ昔の話ですけれども,あはい,でのないしねですねー,0.0
56,20代だいぶ昔の話ですけれども20代の後半に,あ,でしあっ,0.0
57,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,あはいあそうなんですね,そうですねね,9.291879812217675e-232
58,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,ええああ女子,ああ,2.4655814830110698e-232
59,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですが,ええあー,へあーそうなんですかー,0.3655552228545123
60,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,あー,でねですね,0.0
61,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に,あー,へあ,0.0
62,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,あ,そういうのはないですねね,0.0
63,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の,ああ,そうですか,0.0
64,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に,あー,うしし,0.0
65,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,あ,そういうしですねそういうし,6.968148412761692e-155
66,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,いいですね,へあーそうなんですかー,1.2882297539194154e-231
67,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうと,あー,あーそうなんですね,8.38826642100846e-155
68,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,いいですね,あ,0.0
69,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,軽井沢に,あーそうなんですね,7.57965434483665e-155
70,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の,うーん,あーそうなんですね,7.57965434483665e-155
71,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の旅行に,旅行,そうなんですか,0.0
72,20代だいぶ昔の話ですけれども20代の後半に仲良し3人組で女性ですがあのまー安い宿を使って軽井沢に2泊の旅行に行こうとあ1泊の旅行に行こうということに,あ,あー,0.0
73,20年代戦後間もない,二十年代戦後ですね,はいなのないのっ,0.0
74,20年代戦後間もない頃ですが,あーはいはい,そうでーーでねです,1.5319719891192393e-231
75,20年代戦後間もない頃ですが,そうですよね,へしししのしん,0.0
76,2つのおはじきの,ああ,はーあんですね,0.0
77,2つのおはじきの,ええええええああああ,あそうですかそういうですね,0.0
78,2つのおはじきのあいだを,あーそうでしたね,そうなんですか,1.2183324802375697e-231
79,2つのおはじきのあいだを,あはい,あ,6.702145341854094e-232
80,2つのおはじきのあいだを,指でうん,あそうですか,1.5319719891192393e-231
81,2つのおはじきのあいだを,あーはいはいはい,はは,0.0
82,2つのおはじきを,はいうん二つの,はー,0.0
83,2人して何かあのー計画しあのー,うんわーうーん,あそうなんですか,0.0
84,2人して何かあのー計画しあのー,はいはいへー,そういうのうん,1.384292958842266e-231
85,2年で辞めまして,あーはい,そうでーー,1.384292958842266e-231
86,2年で辞めまして,はいあーそうだったんですか,へあ,1.5319719891192393e-231
87,2年で辞めまして,えっ,そういうのしのしんし,0.0
88,2年で辞めまして,あはい,あーそうなんですね,0.5773502691896257
89,2年で辞めまして,そうなんですか,へあ,1.5319719891192393e-231
